run_id,tier,evidence_class,benchmark,arch,lambda,lambda_regime,seed,final_id_acc,final_ood_acc,mean_whitened_gca,top_hessian_eig,wall_clock_sec,status
489,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,343,92.47851002865329,88.33333333333333,0.0448184630029371,0.00021180641488172114,18.60196328163147,PASS
490,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,385,93.862167982771,85.74074074074073,0.028054355939286735,0.0,18.457943439483643,PASS
491,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,427,92.51432664756447,91.11111111111111,0.06227021722289544,2.7107535061077215e-05,18.540420532226562,PASS
492,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,469,88.75270367700072,77.77777777777779,0.10907279447869152,0.000146580976434052,18.632786750793457,PASS
493,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,511,89.9288256227758,78.88888888888889,0.021250471706567905,0.00021452110377140343,18.52180814743042,PASS
494,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,553,88.09864188706219,88.14814814814815,0.061092033356598435,0.00011932442430406809,18.45986008644104,PASS
495,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,595,90.0504686373468,87.4074074074074,0.09170813331529681,0.00010521772492211312,18.446738958358765,PASS
496,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,637,89.63068181818183,86.48148148148148,0.0560004904560063,7.621822442160919e-05,18.352492809295654,PASS
497,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,679,92.65759312320917,90.55555555555556,0.06326740758032545,0.0001924576354213059,18.5387442111969,PASS
498,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,721,89.38848920863309,87.5925925925926,0.07562546654069836,5.875975693925284e-05,18.359482765197754,PASS
499,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,763,94.10071942446044,88.51851851851852,0.024007845342081436,0.0004609334282577038,18.380423307418823,PASS
500,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,805,95.70200573065902,87.22222222222223,0.051524970812884534,0.00046208081766963005,18.501415252685547,PASS
501,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,847,88.03724928366762,82.22222222222221,0.09256482346407409,5.1064733270322904e-05,18.35819125175476,PASS
502,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,889,89.09935668334525,95.18518518518519,0.04877374999379989,0.00012680661166086793,18.604018688201904,PASS
503,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,931,91.20800571837026,88.14814814814815,0.09286039614824977,0.00028805137844756246,18.56879472732544,PASS
504,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,973,92.47503566333809,87.96296296296296,0.07569248219441202,0.00017426442354917526,18.48853588104248,PASS
505,tier_1_primary_change_point,primary,cogs,transformer_2l,0.03,boundary,1015,90.87617668356263,85.92592592592592,0.06121816126374654,0.0008565459866076708,18.459744215011597,PASS
