study_id,id,title,authors,year,doi,arxiv_id,source_db,journal,url
S021,P02_0609,Compositional Generalization Requires Compositional Parsers,Pia Weißenhorn; Yuekun Yao; Lucia Donatelli; Alexander Koller,2022,,2202.11937v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2202.11937v1
S022,P02_0610,Think before you act: A simple baseline for compositional generalization,Christina Heinze-Deml; Diane Bouchacourt,2020,,2009.13962v2,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2009.13962v2
S023,P02_0611,How Do In-Context Examples Affect Compositional Generalization?,Shengnan An; Zeqi Lin; Qiang Fu; Bei Chen; Nanning Zheng; Jian-Guang Lou; Dongmei Zhang,2023,,2305.04835v3,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2305.04835v3
S024,P02_0612,Hierarchical Poset Decoding for Compositional Generalization in Language,Yinuo Guo; Zeqi Lin; Jian-Guang Lou; Dongmei Zhang,2020,,2010.07792v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2010.07792v1
S025,P02_0613,Unlocking Compositional Generalization in Pre-trained Models Using Intermediate Representations,Jonathan Herzig; Peter Shaw; Ming-Wei Chang; Kelvin Guu; Panupong Pasupat; Yuan Zhang,2021,,2104.07478v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2104.07478v1
S026,P02_0614,Compositional Generalization by Learning Analytical Expressions,Qian Liu; Shengnan An; Jian-Guang Lou; Bei Chen; Zeqi Lin; Yan Gao; Bin Zhou; Nanning Zheng; Dongmei Zhang,2020,,2006.10627v2,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2006.10627v2
S027,P02_0615,Compositional Generalization in Multilingual Semantic Parsing over Wikidata,Ruixiang Cui; Rahul Aralikatte; Heather Lent; Daniel Hershcovich,2021,,2108.03509v2,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2108.03509v2
S028,P02_0616,Data Factors for Better Compositional Generalization,Xiang Zhou; Yichen Jiang; Mohit Bansal,2023,,2311.04420v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2311.04420v1
S029,P02_0617,Iterative Decoding for Compositional Generalization in Transformers,Luana Ruiz; Joshua Ainslie; Santiago Ontañón,2021,,2110.04169v2,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2110.04169v2
S030,P02_0618,Structural generalization in COGS: Supertagging is (almost) all you need,Alban Petit; Caio Corro; François Yvon,2023,,2310.14124v1,arXiv:benchmark,,http://arxiv.org/abs/2310.14124v1
S031,P02_0619,When Can Transformers Ground and Compose: Insights from Compositional Generalization Benchmarks,Ankur Sikarwar; Arkil Patel; Navin Goyal,2022,,2210.12786v2,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2210.12786v2
S032,P02_0620,Compositional Generalization for Natural Language Interfaces to Web APIs,Saghar Hosseini; Ahmed Hassan Awadallah; Yu Su,2021,,2112.05209v1,"arXiv:benchmark, arXiv:primary",,http://arxiv.org/abs/2112.05209v1
