study_id,id,title,authors,year,doi,arxiv_id,source_db,journal,url
S106,P02_0819,Scalable Evaluation and Neural Models for Compositional Generalization,Giacomo Camposampiero; Pietro Barbiero; Michael Hersche; Roger Wattenhofer; Abbas Rahimi,2025,,2511.02667v2,arXiv:primary,,http://arxiv.org/abs/2511.02667v2
S107,P02_0820,Improving Compositional Generalization in Math Word Problem Solving,Yunshi Lan; Lei Wang; Jing Jiang; Ee-Peng Lim,2022,,2209.01352v1,arXiv:primary,,http://arxiv.org/abs/2209.01352v1
S108,P02_0821,Improving Compositional Generalization in Classification Tasks via Structure Annotations,Juyong Kim; Pradeep Ravikumar; Joshua Ainslie; Santiago Ontañón,2021,,2106.10434v1,arXiv:primary,,http://arxiv.org/abs/2106.10434v1
S109,P02_0822,Compositional Generalization with Tree Stack Memory Units,Forough Arabshahi; Zhichu Lu; Pranay Mundra; Sameer Singh; Animashree Anandkumar,2019,,1911.01545v5,arXiv:primary,,http://arxiv.org/abs/1911.01545v5
S110,P02_0823,Reinforcement Learning for Compositional Generalization with Outcome-Level Optimization,Xiyan Fu; Wei Liu,2026,,2605.04920v1,arXiv:primary,,http://arxiv.org/abs/2605.04920v1
S111,P02_0824,Provable Compositional Generalization for Object-Centric Learning,Thaddäus Wiedemer; Jack Brady; Alexander Panfilov; Attila Juhos; Matthias Bethge; Wieland Brendel,2023,,2310.05327v2,arXiv:primary,,http://arxiv.org/abs/2310.05327v2
S112,P02_0825,A General Theory for Compositional Generalization,Jingwen Fu; Zhizheng Zhang; Yan Lu; Nanning Zheng,2024,,2405.11743v1,arXiv:primary,,http://arxiv.org/abs/2405.11743v1
S113,P02_0826,Disentangled Sequence to Sequence Learning for Compositional Generalization,Hao Zheng; Mirella Lapata,2021,,2110.04655v2,arXiv:primary,,http://arxiv.org/abs/2110.04655v2
S114,P02_0827,"Concepts, Properties and an Approach for Compositional Generalization",Yuanpeng Li,2021,,2102.04225v1,arXiv:primary,,http://arxiv.org/abs/2102.04225v1
S115,P02_0828,Consistency of Compositional Generalization across Multiple Levels,Chuanhao Li; Zhen Li; Chenchen Jing; Xiaomeng Fan; Wenbo Ye; Yuwei Wu; Yunde Jia,2024,,2412.13636v1,arXiv:primary,,http://arxiv.org/abs/2412.13636v1
S116,P02_0829,On Provable Length and Compositional Generalization,Kartik Ahuja; Amin Mansouri,2024,,2402.04875v6,arXiv:primary,,http://arxiv.org/abs/2402.04875v6
S117,P02_0830,On Compositional Generalization of Neural Machine Translation,Yafu Li; Yongjing Yin; Yulong Chen; Yue Zhang,2021,,2105.14802v1,arXiv:primary,,http://arxiv.org/abs/2105.14802v1
S118,P02_0831,DiNeR: a Large Realistic Dataset for Evaluating Compositional Generalization,Chengang Hu; Xiao Liu; Yansong Feng,2024,,2406.04669v1,arXiv:primary,,http://arxiv.org/abs/2406.04669v1
S119,P02_0832,The Mystery of Compositional Generalization in Graph-based Generative Commonsense Reasoning,Xiyan Fu; Anette Frank,2024,,2410.06272v1,arXiv:primary,,http://arxiv.org/abs/2410.06272v1
S120,P02_0833,Simple and effective data augmentation for compositional generalization,Yuekun Yao; Alexander Koller,2024,,2401.09815v1,arXiv:primary,,http://arxiv.org/abs/2401.09815v1
S121,P02_0834,Unobserved Local Structures Make Compositional Generalization Hard,Ben Bogin; Shivanshu Gupta; Jonathan Berant,2022,,2201.05899v2,arXiv:primary,,http://arxiv.org/abs/2201.05899v2
S122,P02_0836,"Compositional Generalization Requires Linear, Orthogonal Representations in Vision Embedding Models",Arnas Uselis; Andrea Dittadi; Seong Joon Oh,2026,,2602.24264v2,arXiv:primary,,http://arxiv.org/abs/2602.24264v2
S123,P02_0837,When and How Does CLIP Enable Domain and Compositional Generalization?,Elias Kempf; Simon Schrodi; Max Argus; Thomas Brox,2025,,2502.09507v3,arXiv:primary,,http://arxiv.org/abs/2502.09507v3
S124,P02_0838,When does compositional structure yield compositional generalization? A kernel theory,Samuel Lippl; Kim Stachenfeld,2024,,2405.16391v3,arXiv:primary,,http://arxiv.org/abs/2405.16391v3
S125,P02_0839,Syntax-Guided Transformers: Elevating Compositional Generalization and Grounding in Multimodal Environments,Danial Kamali; Parisa Kordjamshidi,2023,,2311.04364v1,arXiv:primary,,http://arxiv.org/abs/2311.04364v1
S126,P02_0840,Diverse Demonstrations Improve In-context Compositional Generalization,Itay Levy; Ben Bogin; Jonathan Berant,2022,,2212.06800v3,arXiv:primary,,http://arxiv.org/abs/2212.06800v3
S127,P02_0841,Exploring the Compositional Generalization in Context Dependent Text-to-SQL Parsing,Aiwei Liu; Wei Liu; Xuming Hu; Shuang Li; Fukun Ma; Yawen Yang; Lijie Wen,2023,,2306.04480v1,arXiv:primary,,http://arxiv.org/abs/2306.04480v1
S128,P02_0842,Improving Compositional Generalization Using Iterated Learning and Simplicial Embeddings,Yi Ren; Samuel Lavoie; Mikhail Galkin; Danica J. Sutherland; Aaron Courville,2023,,2310.18777v1,arXiv:primary,,http://arxiv.org/abs/2310.18777v1
S129,P02_0843,Towards Compositional Generalization of LLMs via Skill Taxonomy Guided Data Synthesis,Yifan Wei; Li Du; Xiaoyan Yu; Yang Feng; Angsheng Li,2026,,2601.03676v1,arXiv:primary,,http://arxiv.org/abs/2601.03676v1
S130,P02_0845,Are Object-Centric Representations Better At Compositional Generalization?,Ferdinand Kapl; Amir Mohammad Karimi Mamaghan; Maximilian Seitzer; Karl Henrik Johansson; Carsten Marr; Stefan Bauer; Andrea Dittadi,2026,,2602.16689v1,arXiv:primary,,http://arxiv.org/abs/2602.16689v1
S131,P02_0847,A Short Survey of Systematic Generalization,Yuanpeng Li,2022,,2211.11956v1,arXiv:primary,,http://arxiv.org/abs/2211.11956v1
S132,P02_0848,Compositional Generalization for Multi-label Text Classification: A Data-Augmentation Approach,Yuyang Chai; Zhuang Li; Jiahui Liu; Lei Chen; Fei Li; Donghong Ji; Chong Teng,2023,,2312.11276v3,arXiv:primary,,http://arxiv.org/abs/2312.11276v3
S133,P02_0849,Exploring Continual Learning of Compositional Generalization in NLI,Xiyan Fu; Anette Frank,2024,,2403.04400v2,arXiv:primary,,http://arxiv.org/abs/2403.04400v2
S134,P02_0850,Layer-wise Representation Fusion for Compositional Generalization,Yafang Zheng; Lei Lin; Shuangtao Li; Yuxuan Yuan; Zhaohong Lai; Shan Liu; Biao Fu; Yidong Chen; Xiaodong Shi,2023,,2307.10799v2,arXiv:primary,,http://arxiv.org/abs/2307.10799v2
S135,P02_0851,Block-Operations: Using Modular Routing to Improve Compositional Generalization,Florian Dietz; Dietrich Klakow,2024,,2408.00508v1,arXiv:primary,,http://arxiv.org/abs/2408.00508v1
S136,P02_0852,Local Mechanisms of Compositional Generalization in Conditional Diffusion,Arwen Bradley,2025,,2509.16447v3,arXiv:primary,,http://arxiv.org/abs/2509.16447v3
S137,P02_0853,A Theoretical Analysis of Compositional Generalization in Neural Networks: A Necessary and Sufficient Condition,Yuanpeng Li,2025,,2505.02627v1,arXiv:primary,,http://arxiv.org/abs/2505.02627v1
S138,P02_0854,The Role of Linguistic Priors in Measuring Compositional Generalization of Vision-Language Models,Chenwei Wu; Li Erran Li; Stefano Ermon; Patrick Haffner; Rong Ge; Zaiwei Zhang,2023,,2310.02777v1,arXiv:primary,,http://arxiv.org/abs/2310.02777v1
S139,P02_0855,Compositional Generalization and Natural Language Variation: Can a Semantic Parsing Approach Handle Both?,Peter Shaw; Ming-Wei Chang; Panupong Pasupat; Kristina Toutanova,2020,,2010.12725v2,arXiv:primary,,http://arxiv.org/abs/2010.12725v2
S140,P02_0856,Enhancing Compositional Generalization via Compositional Feature Alignment,Haoxiang Wang; Haozhe Si; Huajie Shao; Han Zhao,2024,,2402.02851v2,arXiv:primary,,http://arxiv.org/abs/2402.02851v2
S141,P02_0857,Evaluating Morphological Compositional Generalization in Large Language Models,Mete Ismayilzada; Defne Circi; Jonne Sälevä; Hale Sirin; Abdullatif Köksal; Bhuwan Dhingra; Antoine Bosselut; Duygu Ataman; Lonneke van der Plas,2024,,2410.12656v4,arXiv:primary,,http://arxiv.org/abs/2410.12656v4
S142,P02_0858,Evaluating the Impact of Model Scale for Compositional Generalization in Semantic Parsing,Linlu Qiu; Peter Shaw; Panupong Pasupat; Tianze Shi; Jonathan Herzig; Emily Pitler; Fei Sha; Kristina Toutanova,2022,,2205.12253v2,arXiv:primary,,http://arxiv.org/abs/2205.12253v2
S143,P02_0859,Real-World Compositional Generalization with Disentangled Sequence-to-Sequence Learning,Hao Zheng; Mirella Lapata,2022,,2212.05982v1,arXiv:primary,,http://arxiv.org/abs/2212.05982v1
S144,P02_0861,Improving Compositional Generalization with Latent Structure and Data Augmentation,Linlu Qiu; Peter Shaw; Panupong Pasupat; Paweł Krzysztof Nowak; Tal Linzen; Fei Sha; Kristina Toutanova,2021,,2112.07610v2,arXiv:primary,,http://arxiv.org/abs/2112.07610v2
S145,P02_0862,Compositional Generalization in Image Captioning,Mitja Nikolaus; Mostafa Abdou; Matthew Lamm; Rahul Aralikatte; Desmond Elliott,2019,,1909.04402v2,arXiv:primary,,http://arxiv.org/abs/1909.04402v2
S146,P02_0863,Can LLM find the green circle? Investigation and Human-guided tool manipulation for compositional generalization,Min Zhang; Jianfeng He; Shuo Lei; Murong Yue; Linhang Wang; Chang-Tien Lu,2023,,2312.07763v1,arXiv:primary,,http://arxiv.org/abs/2312.07763v1
S147,P02_0864,Multi-Sourced Compositional Generalization in Visual Question Answering,Chuanhao Li; Wenbo Ye; Zhen Li; Yuwei Wu; Yunde Jia,2025,,2505.23045v1,arXiv:primary,,http://arxiv.org/abs/2505.23045v1
S148,P02_0865,Analyzing the Inner Workings of Transformers in Compositional Generalization,Ryoma Kumon; Hitomi Yanaka,2025,,2502.15277v1,arXiv:primary,,http://arxiv.org/abs/2502.15277v1
S149,P02_0866,Improving Systematic Generalization Through Modularity and Augmentation,Laura Ruis; Brenden Lake,2022,,2202.10745v1,arXiv:primary,,http://arxiv.org/abs/2202.10745v1
S150,P02_0867,NeSyCoCo: A Neuro-Symbolic Concept Composer for Compositional Generalization,Danial Kamali; Elham J. Barezi; Parisa Kordjamshidi,2024,,2412.15588v1,arXiv:primary,,http://arxiv.org/abs/2412.15588v1
S151,P02_0868,Compositional Generalization via Forced Rendering of Disentangled Latents,Qiyao Liang; Daoyuan Qian; Liu Ziyin; Ila Fiete,2025,,2501.18797v2,arXiv:primary,,http://arxiv.org/abs/2501.18797v2
S152,P02_0869,ChatGPT as Data Augmentation for Compositional Generalization: A Case Study in Open Intent Detection,Yihao Fang; Xianzhi Li; Stephen W. Thomas; Xiaodan Zhu,2023,,2308.13517v1,arXiv:primary,,http://arxiv.org/abs/2308.13517v1
S153,P02_0870,The Impact of Depth on Compositional Generalization in Transformer Language Models,Jackson Petty; Sjoerd van Steenkiste; Ishita Dasgupta; Fei Sha; Dan Garrette; Tal Linzen,2023,,2310.19956v2,arXiv:primary,,http://arxiv.org/abs/2310.19956v2
S154,P02_0871,Compositional Generalization Across Distributional Shifts with Sparse Tree Operations,Paul Soulos; Henry Conklin; Mattia Opper; Paul Smolensky; Jianfeng Gao; Roland Fernandez,2024,,2412.14076v1,arXiv:primary,,http://arxiv.org/abs/2412.14076v1
S155,P02_0872,Compositional generalization through abstract representations in human and artificial neural networks,Takuya Ito; Tim Klinger; Douglas H. Schultz; John D. Murray; Michael W. Cole; Mattia Rigotti,2022,,2209.07431v3,arXiv:primary,,http://arxiv.org/abs/2209.07431v3
S156,P02_0873,Systematic Generalization in Language Models Scales with Information Entropy,Sondre Wold; Lucas Georges Gabriel Charpentier; Étienne Simon,2025,,2505.13089v2,arXiv:primary,,http://arxiv.org/abs/2505.13089v2
S157,P02_0874,How Modular Should Neural Module Networks Be for Systematic Generalization?,Vanessa D'Amario; Tomotake Sasaki; Xavier Boix,2021,,2106.08170v2,arXiv:primary,,http://arxiv.org/abs/2106.08170v2
S158,P02_0875,Pretraining Frequency Predicts Compositional Generalization of CLIP on Real-World Tasks,Thaddäus Wiedemer; Yash Sharma; Ameya Prabhu; Matthias Bethge; Wieland Brendel,2025,,2502.18326v1,arXiv:primary,,http://arxiv.org/abs/2502.18326v1
S159,P02_0877,SPOR: A Comprehensive and Practical Evaluation Method for Compositional Generalization in Data-to-Text Generation,Ziyao Xu; Houfeng Wang,2024,,2405.10650v8,arXiv:primary,,http://arxiv.org/abs/2405.10650v8
S160,P02_0878,Neural-Symbolic Recursive Machine for Systematic Generalization,Qing Li; Yixin Zhu; Yitao Liang; Ying Nian Wu; Song-Chun Zhu; Siyuan Huang,2022,,2210.01603v2,arXiv:primary,,http://arxiv.org/abs/2210.01603v2
S161,P02_0879,An explainable transformer circuit for compositional generalization,Cheng Tang; Brenden Lake; Mehrdad Jazayeri,2025,,2502.15801v1,arXiv:primary,,http://arxiv.org/abs/2502.15801v1
S162,P02_0880,Finding needles in a haystack: Sampling Structurally-diverse Training Sets from Synthetic Data for Compositional Generalization,Inbar Oren; Jonathan Herzig; Jonathan Berant,2021,,2109.02575v1,arXiv:primary,,http://arxiv.org/abs/2109.02575v1
S163,P02_0881,Revisiting Compositional Generalization Capability of Large Language Models Considering Instruction Following Ability,Yusuke Sakai; Hidetaka Kamigaito; Taro Watanabe,2025,,2506.15629v1,arXiv:primary,,http://arxiv.org/abs/2506.15629v1
S164,P02_0882,Differentiable Tree Operations Promote Compositional Generalization,Paul Soulos; Edward Hu; Kate McCurdy; Yunmo Chen; Roland Fernandez; Paul Smolensky; Jianfeng Gao,2023,,2306.00751v1,arXiv:primary,,http://arxiv.org/abs/2306.00751v1
S165,P02_0883,Factorization Regret mediates compositional generalization in latent space,John Schwarcz,2026,,2603.27134v5,arXiv:primary,,http://arxiv.org/abs/2603.27134v5
S166,P02_0884,Counterfactual Recipe Generation: Exploring Compositional Generalization in a Realistic Scenario,Xiao Liu; Yansong Feng; Jizhi Tang; Chengang Hu; Dongyan Zhao,2022,,2210.11431v1,arXiv:primary,,http://arxiv.org/abs/2210.11431v1
S167,P02_0885,Swing-by Dynamics in Concept Learning and Compositional Generalization,Yongyi Yang; Core Francisco Park; Ekdeep Singh Lubana; Maya Okawa; Wei Hu; Hidenori Tanaka,2024,,2410.08309v3,arXiv:primary,,http://arxiv.org/abs/2410.08309v3
S168,P02_0887,ExeDec: Execution Decomposition for Compositional Generalization in Neural Program Synthesis,Kensen Shi; Joey Hong; Yinlin Deng; Pengcheng Yin; Manzil Zaheer; Charles Sutton,2023,,2307.13883v2,arXiv:primary,,http://arxiv.org/abs/2307.13883v2
S169,P02_0888,Compositional Generalization for Data-to-Text Generation,Xinnuo Xu; Ivan Titov; Mirella Lapata,2023,,2312.02748v1,arXiv:primary,,http://arxiv.org/abs/2312.02748v1
S170,P02_0889,What Drives Compositional Generalization? The Importance of Continuous Training Objectives in Visual Generative Models,Karim Farid; Rajat Sahay; Yumna Ali Alnaggar; Simon Schrodi; Volker Fischer; Cordelia Schmid; Thomas Brox,2025,,2510.03075v3,arXiv:primary,,http://arxiv.org/abs/2510.03075v3
S171,P02_0890,Compositional Generalization with Grounded Language Models,Sondre Wold; Étienne Simon; Lucas Georges Gabriel Charpentier; Egor V. Kostylev; Erik Velldal; Lilja Øvrelid,2024,,2406.04989v1,arXiv:primary,,http://arxiv.org/abs/2406.04989v1
S172,P02_0891,Scaling can lead to compositional generalization,Florian Redhardt; Yassir Akram; Simon Schug,2025,,2507.07207v2,arXiv:primary,,http://arxiv.org/abs/2507.07207v2
S173,P02_0892,Sequential Compositional Generalization in Multimodal Models,Semih Yagcioglu; Osman Batur İnce; Aykut Erdem; Erkut Erdem; Desmond Elliott; Deniz Yuret,2024,,2404.12013v1,arXiv:primary,,http://arxiv.org/abs/2404.12013v1
S174,P02_0893,Learning to Compose Representations of Different Encoder Layers towards Improving Compositional Generalization,Lei Lin; Shuangtao Li; Yafang Zheng; Biao Fu; Shan Liu; Yidong Chen; Xiaodong Shi,2023,,2305.12169v2,arXiv:primary,,http://arxiv.org/abs/2305.12169v2
S175,P02_0894,Systematic Generalization on gSCAN with Language Conditioned Embedding,Tong Gao; Qi Huang; Raymond J. Mooney,2020,,2009.05552v2,arXiv:primary,,http://arxiv.org/abs/2009.05552v2
S176,P02_0895,On a Built-in Conflict between Deep Learning and Systematic Generalization,Yuanpeng Li,2022,,2208.11633v1,arXiv:primary,,http://arxiv.org/abs/2208.11633v1
S177,P02_0898,What Do You Need for Compositional Generalization in Diffusion Planning?,Quentin Clark; Florian Shkurti,2025,,2505.18083v3,arXiv:primary,,http://arxiv.org/abs/2505.18083v3
S178,P02_0899,D3: Data Diversity Design for Systematic Generalization in Visual Question Answering,Amir Rahimi; Vanessa D'Amario; Moyuru Yamada; Kentaro Takemoto; Tomotake Sasaki; Xavier Boix,2023,,2309.08798v2,arXiv:primary,,http://arxiv.org/abs/2309.08798v2
S179,P02_0900,RoboHiMan: A Hierarchical Evaluation Paradigm for Compositional Generalization in Long-Horizon Manipulation,Yangtao Chen; Zixuan Chen; Nga Teng Chan; Junting Chen; Junhui Yin; Jieqi Shi; Yang Gao; Yong-Lu Li; Jing Huo,2025,,2510.13149v1,arXiv:primary,,http://arxiv.org/abs/2510.13149v1
S180,P02_0901,AGEL-Comp: A Neuro-Symbolic Framework for Compositional Generalization in Interactive Agents,Mahnoor Shahid; Hannes Rothe,2026,,2604.26522v1,arXiv:primary,,http://arxiv.org/abs/2604.26522v1
S181,P02_0902,ViLPAct: A Benchmark for Compositional Generalization on Multimodal Human Activities,Terry Yue Zhuo; Yaqing Liao; Yuecheng Lei; Lizhen Qu; Gerard de Melo; Xiaojun Chang; Yazhou Ren; Zenglin Xu,2022,,2210.05556v4,arXiv:primary,,http://arxiv.org/abs/2210.05556v4
S182,P02_0903,Policy Architectures for Compositional Generalization in Control,Allan Zhou; Vikash Kumar; Chelsea Finn; Aravind Rajeswaran,2022,,2203.05960v1,arXiv:primary,,http://arxiv.org/abs/2203.05960v1
S183,P02_0904,Transformer Module Networks for Systematic Generalization in Visual Question Answering,Moyuru Yamada; Vanessa D'Amario; Kentaro Takemoto; Xavier Boix; Tomotake Sasaki,2022,,2201.11316v2,arXiv:primary,,http://arxiv.org/abs/2201.11316v2
S184,P02_0906,Realistic Evaluation of Model Merging for Compositional Generalization,Derek Tam; Yash Kant; Brian Lester; Igor Gilitschenski; Colin Raffel,2024,,2409.18314v1,arXiv:primary,,http://arxiv.org/abs/2409.18314v1
S185,P02_0907,Learning Algebraic Representation for Systematic Generalization in Abstract Reasoning,Chi Zhang; Sirui Xie; Baoxiong Jia; Ying Nian Wu; Song-Chun Zhu; Yixin Zhu,2021,,2111.12990v2,arXiv:primary,,http://arxiv.org/abs/2111.12990v2
S186,P02_0908,From Reasoning Traces to Reusable Modules: Understanding Compositional Generalization in Language Model Reasoning,Lingjing Kong; Xin Liu; Guangyi Chen; Martin Q. Ma; Xiangchen Song; Yuekai Sun; Mikhail Yurochkin; Taylor W. Killian; Ruslan Salakhutdinov; Kun Zhang; Eric P. Xing; Zhengzhong Liu,2026,,2606.18089v2,arXiv:primary,,http://arxiv.org/abs/2606.18089v2
S187,P02_0909,Systematic Generalization: What Is Required and Can It Be Learned?,Dzmitry Bahdanau; Shikhar Murty; Michael Noukhovitch; Thien Huu Nguyen; Harm de Vries; Aaron Courville,2018,,1811.12889v3,arXiv:primary,,http://arxiv.org/abs/1811.12889v3
S188,P02_0910,Learning by Analogy: A Causal Framework for Composition Generalization,Lingjing Kong; Shaoan Xie; Yang Jiao; Yetian Chen; Yanhui Guo; Simone Shao; Yan Gao; Guangyi Chen; Kun Zhang,2025,,2512.10669v1,arXiv:primary,,http://arxiv.org/abs/2512.10669v1
S189,P02_0912,Provably Efficient Causal Model-Based Reinforcement Learning for Systematic Generalization,Mirco Mutti; Riccardo De Santi; Emanuele Rossi; Juan Felipe Calderon; Michael Bronstein; Marcello Restelli,2022,,2202.06545v3,arXiv:primary,,http://arxiv.org/abs/2202.06545v3
S190,P02_0913,Compositional-ARC: Assessing Systematic Generalization in Abstract Spatial Reasoning,Philipp Mondorf; Shijia Zhou; Monica Riedler; Barbara Plank,2025,,2504.01445v3,arXiv:primary,,http://arxiv.org/abs/2504.01445v3
S191,P02_0914,Impact of Pretraining Word Co-occurrence on Compositional Generalization in Multimodal Models,Helen Qu; Sang Michael Xie,2025,,2507.08000v1,arXiv:primary,,http://arxiv.org/abs/2507.08000v1
S192,P02_0915,Systematic Generalization in Neural Networks-based Multivariate Time Series Forecasting Models,Hritik Bansal; Gantavya Bhatt; Pankaj Malhotra; Prathosh A. P,2021,,2102.05602v2,arXiv:primary,,http://arxiv.org/abs/2102.05602v2
S193,P02_0917,Seen to Unseen: Exploring Compositional Generalization of Multi-Attribute Controllable Dialogue Generation,Weihao Zeng; Lulu Zhao; Keqing He; Ruotong Geng; Jingang Wang; Wei Wu; Weiran Xu,2023,,2306.10317v1,arXiv:primary,,http://arxiv.org/abs/2306.10317v1
S194,P02_0919,Latent Compositional Representations Improve Systematic Generalization in Grounded Question Answering,Ben Bogin; Sanjay Subramanian; Matt Gardner; Jonathan Berant,2020,,2007.00266v3,arXiv:primary,,http://arxiv.org/abs/2007.00266v3
S195,P02_0921,Measuring Systematic Generalization in Neural Proof Generation with Transformers,Nicolas Gontier; Koustuv Sinha; Siva Reddy; Christopher Pal,2020,,2009.14786v2,arXiv:primary,,http://arxiv.org/abs/2009.14786v2
S196,P02_0922,Systematic Generalization on gSCAN: What is Nearly Solved and What is Next?,Linlu Qiu; Hexiang Hu; Bowen Zhang; Peter Shaw; Fei Sha,2021,,2109.12243v1,arXiv:primary,,http://arxiv.org/abs/2109.12243v1
S197,P02_0924,COVR: A test-bed for Visually Grounded Compositional Generalization with real images,Ben Bogin; Shivanshu Gupta; Matt Gardner; Jonathan Berant,2021,,2109.10613v1,arXiv:primary,,http://arxiv.org/abs/2109.10613v1
S198,P02_0926,Revisit Systematic Generalization via Meaningful Learning,Ning Shi; Boxin Wang; Wei Wang; Xiangyu Liu; Zhouhan Lin,2020,,2003.06658v5,arXiv:primary,,http://arxiv.org/abs/2003.06658v5
S199,P02_0927,ClassicLogic: A Knowledge-Driven Benchmark of Classic Puzzle Games for Evaluating Compositional Generalization,Mahnoor Shahid; Hannes Rothe,2026,,2607.05185v1,arXiv:primary,,http://arxiv.org/abs/2607.05185v1
S200,P02_0928,HICO-DET-SG and V-COCO-SG: New Data Splits for Evaluating the Systematic Generalization Performance of Human-Object Interaction Detection Models,Kentaro Takemoto; Moyuru Yamada; Tomotake Sasaki; Hisanao Akima,2023,,2305.09948v5,arXiv:primary,,http://arxiv.org/abs/2305.09948v5
S201,P02_0929,"InternVLA-A1.5: Unifying Understanding, Latent Foresight, and Action for Compositional Generalization",Haoxiang Ma; Junhao Cai; Xiaoxu Xu; Hao Li; Yuyin Yang; Yang Tian; Jiafei Cao; Hongrui Zhu; Zherui Qiu;  Zhaxizhuoma; Yuqiang Yang; Jiaqi Peng; Xueyuan Wei; Yangkun Zhu; Jiahao Jiang; Xing Gao; Hanqing Wang; Feng Yuan; Kailin Li; Xueyue Zhu; Tai Wang; Yan Ding; Jiangmiao Pang; Jia Zeng; Jingjing Zhang; Bowen Zhou; Yao Mu; Chunhua Shen; Weinan Zhang,2026,,2607.04988v1,arXiv:primary,,http://arxiv.org/abs/2607.04988v1
S202,P02_0930,Rule Extrapolation in Language Models: A Study of Compositional Generalization on OOD Prompts,Anna Mészáros; Szilvia Ujváry; Wieland Brendel; Patrik Reizinger; Ferenc Huszár,2024,,2409.13728v2,arXiv:primary,,http://arxiv.org/abs/2409.13728v2
S203,P02_0931,Language Plays a Pivotal Role in the Object-Attribute Compositional Generalization of CLIP,Reza Abbasi; Mohammad Samiei; Mohammad Hossein Rohban; Mahdieh Soleymani Baghshah,2024,,2403.18525v1,arXiv:primary,,http://arxiv.org/abs/2403.18525v1
S204,P02_0932,The Devil is in the Detail: Simple Tricks Improve Systematic Generalization of Transformers,Róbert Csordás; Kazuki Irie; Jürgen Schmidhuber,2021,,2108.12284v4,arXiv:primary,,http://arxiv.org/abs/2108.12284v4
S205,P02_0933,Inductive Biases for Zero-shot Systematic Generalization in Language-informed Reinforcement Learning,Negin Hashemi Dijujin; Seyed Roozbeh Razavi Rohani; Mohammad Mahdi Samiei; Mahdieh Soleymani Baghshah,2025,,2501.15270v1,arXiv:primary,,http://arxiv.org/abs/2501.15270v1
S206,P02_0934,Three approaches to facilitate DNN generalization to objects in out-of-distribution orientations and illuminations,Akira Sakai; Taro Sunagawa; Spandan Madan; Kanata Suzuki; Takashi Katoh; Hiromichi Kobashi; Hanspeter Pfister; Pawan Sinha; Xavier Boix; Tomotake Sasaki,2021,,2111.00131v2,arXiv:primary,,http://arxiv.org/abs/2111.00131v2
S207,P02_0935,Siamese recurrent networks learn first-order logic reasoning and exhibit zero-shot compositional generalization,Mathijs Mul; Willem Zuidema,2019,,1906.00180v1,arXiv:primary,,http://arxiv.org/abs/1906.00180v1
S208,P02_0936,"A Minimalist Dataset for Systematic Generalization of Perception, Syntax, and Semantics",Qing Li; Siyuan Huang; Yining Hong; Yixin Zhu; Ying Nian Wu; Song-Chun Zhu,2021,,2103.01403v3,arXiv:primary,,http://arxiv.org/abs/2103.01403v3
S209,P02_0937,CLOSURE: Assessing Systematic Generalization of CLEVR Models,Dzmitry Bahdanau; Harm de Vries; Timothy J. O'Donnell; Shikhar Murty; Philippe Beaudoin; Yoshua Bengio; Aaron Courville,2019,,1912.05783v2,arXiv:primary,,http://arxiv.org/abs/1912.05783v2
S210,P02_0938,Towards Systematic Generalization for Power Grid Optimization Problems,Zeeshan Memon; Yijiang Li; Hongwei Jin; Kibaek Kim; Liang Zhao,2026,,2605.02026v1,arXiv:primary,,http://arxiv.org/abs/2605.02026v1
S211,P02_0939,Understanding out-of-distribution accuracies through quantifying difficulty of test samples,Berfin Simsek; Melissa Hall; Levent Sagun,2022,,2203.15100v1,arXiv:primary,,http://arxiv.org/abs/2203.15100v1
S212,P02_0940,SyGNS: A Systematic Generalization Testbed Based on Natural Language Semantics,Hitomi Yanaka; Koji Mineshima; Kentaro Inui,2021,,2106.01077v1,arXiv:primary,,http://arxiv.org/abs/2106.01077v1
S213,P02_0941,Challenges in Generalization in Open Domain Question Answering,Linqing Liu; Patrick Lewis; Sebastian Riedel; Pontus Stenetorp,2021,,2109.01156v3,arXiv:primary,,http://arxiv.org/abs/2109.01156v3
S214,P02_0942,Scale Up Strategically: Learning Compositional Generalization via Bias-Aware Evaluation and Data Collection for Robotic Manipulation,Yu Qi; Zhang Ye; Xinyi Xu; Yuxuan Lu; Amitoj Sandhu; Boce Hu; Haojie Huang; Jonathan Tremblay; Lawson L. S. Wong,2026,,2607.21582v1,arXiv:primary,,http://arxiv.org/abs/2607.21582v1
S215,P02_0945,Atomic-to-Compositional Generalization for Mobile Agents with A New Benchmark and Scheduling System,Yuan Guo; Tingjia Miao; Zheng Wu; Pengzhou Cheng; Ming Zhou; Zhuosheng Zhang,2025,,2506.08972v1,arXiv:primary,,http://arxiv.org/abs/2506.08972v1
S216,P02_0946,ATOM-Bench: A Real-World Benchmark for Atomic Skills and Compositional Generalization in Manipulation Policies,Zenan Wu; Bingqing Wei; Lu Liu; Zheqi He; Xi Wang; Jiakang Liu; Zehui Li; Guocai Yao; Jing-Shu Zheng; Xi Yang; Yongtao Wang,2026,,2606.16826v1,arXiv:primary,,http://arxiv.org/abs/2606.16826v1
S217,P02_0947,Data Distributional Properties As Inductive Bias for Systematic Generalization,Felipe del Rio; Alain Raymond-Saez; Daniel Florea; Rodrigo Toro Icarte; Julio Hurtado; Cristian B. Calderon; Alvaro Soto,2025,,2502.20499v3,arXiv:primary,,http://arxiv.org/abs/2502.20499v3
