study_id,id,title,year,overall,peer_reviewed,code_available,n_seeds_value,task_primary,benchmark_family,arch_family,model_scale_category,train_regime_sigma,baseline_regime,id_acc_mean,ood_acc_mean,id_acc_sd,ood_acc_sd,id_ood_gap,lor,cohens_d,gap_se,outlier,interventional,schema_coherence_measured,repr_analysis,relevance_sigma_trap,relevance_alignment,S0,S1_not_high,S2_low_only,S3_peer_reviewed,S4_code,S5_seeds_ge3
S019,P02_0069,Uniformly Distributed Category Prototype-Guided Vision-Language Framework for Long-Tail Recognition,2023,HIGH,TRUE,FALSE,,ImageNet,custom,cnn_family,unspecified,not_applicable,other,,0.709,,,,,,,False,False,FALSE,other,2,1,True,False,False,True,False,False
S020,P02_0071,A Survey of Multilingual Neural Machine Translation,2020,HIGH,TRUE,FALSE,,custom,custom,,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,none,2,1,True,False,False,True,False,False
S021,P02_0072,Contrastive Curriculum Learning for Sequential User Behavior Modeling via Data Augmentation,2021,HIGH,TRUE,FALSE,,custom,custom,,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,none,1,1,True,False,False,True,False,False
S022,P02_0073,Efficient Knowledge Graph Unlearning with Zeroth-order Information,2025,HIGH,TRUE,TRUE,,custom,custom,,unspecified,not_applicable,other,,,,,,,,,False,False,FALSE,none,1,2,True,False,False,True,True,False
S023,P02_0075,Neural Dehydration: Effective Erasure of Black-box Watermarks from DNNs with Limited Data,2024,HIGH,TRUE,TRUE,5,CIFAR10,CIFAR10,,unspecified,not_applicable,,0.914,,,,,,,,False,False,FALSE,none,1,1,True,False,False,True,True,True
S024,P02_0081,Evaluating Out-of-Distribution Robustness of TabPFN on Tabular Data,2025,HIGH,TRUE,FALSE,,custom,custom,transformer,unspecified,not_applicable,other,0.88,0.8,,,0.08,0.6061358035703154,,0.0515363949069005,False,False,FALSE,none,2,2,True,False,False,True,False,False
S025,P02_0082,On the Out-of-Distribution Evaluation of ML-Based End-to-End Communications Systems,2024,HIGH,TRUE,FALSE,,custom,custom,other,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,none,3,1,True,False,False,True,False,False
S026,P02_0087,Evading the Simplicity Bias: Training a Diverse Set of Models Discovers Solutions with Superior OOD Generalization,2022,HIGH,TRUE,,5,PACS,custom,cnn_family,unspecified,not_applicable,standard_SGD,,0.8514,,0.0059,,,,,False,False,FALSE,none,4,2,True,False,False,True,False,True
S027,P02_0088,Compositional Generalization in Emergent Communication via Metropolis-Hastings Naming Game with Transformer Language Models,2026,HIGH,TRUE,FALSE,10,custom,custom,transformer,small,not_applicable,,,,,,,,,,False,False,TRUE,other,4,2,True,False,False,True,False,True
S028,P02_0092,Data Distributional Properties As Inductive Bias for Systematic Generalization,2025,HIGH,TRUE,TRUE,3,custom,custom,other,small,not_applicable,,0.996,0.006,0,0.001,0.99,3.218875824868201,1400.071426749364,0.05758472019555188,False,False,TRUE,other,5,1,True,False,False,True,True,True
S029,P02_0093,Dynamic Multi-Path Learning For Out-of-Distribution Node Classification on Heterophilic Graphs,2026,HIGH,TRUE,FALSE,,custom,custom,gnn,unspecified,not_applicable,other,,0.9804,,,,,,,False,False,FALSE,none,3,1,True,False,False,True,False,False
S030,P02_0096,Out-of-Distribution Generalization on Graphs: A Survey,2025,HIGH,TRUE,FALSE,,custom,custom,gnn,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,none,3,2,True,False,False,True,False,False
S031,P02_0110,Efficient Out-of-Distribution Generalization for Pre-trained GNNs via Prompt Learning,2026,HIGH,TRUE,FALSE,3,custom,custom,gnn,small,not_applicable,,,0.8749,,0.0241,,,,,False,False,FALSE,none,3,1,True,False,False,True,False,True
S032,P02_0116,Complexity Control Facilitates Reasoning-Based Compositional Generalization in Transformers,2026,HIGH,TRUE,FALSE,3,custom,custom,transformer,unspecified,not_applicable,other,,,,,,,,,False,False,FALSE,PCA,5,3,True,False,False,True,False,True
S033,P02_0124,Handling Out-of-Distribution Data: A Survey,2025,HIGH,TRUE,FALSE,,,custom,,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,none,3,2,True,False,False,True,False,False
S034,P02_0126,The Many Faces of Robustness: A Critical Analysis of Out-of-Distribution Generalization,2021,HIGH,TRUE,FALSE,,ImageNet,custom,cnn_family,medium,not_applicable,,,,,,,,,,False,False,FALSE,none,3,2,True,False,False,True,False,False
S035,P02_0128,A System-Level Analysis of Cross-Domain Generalization Failure in Audio Deepfake Detection,2026,HIGH,TRUE,FALSE,,custom,custom,other,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,other,4,2,True,False,False,True,False,False
S036,P02_0136,Defeating Multimodal Information Manipulation By A Web 3.0 Decentralized Identity (DID)-Based Accountability Framework,2025,HIGH,TRUE,FALSE,,,custom,,,not_applicable,,,,,,,,,,False,False,FALSE,none,2,2,True,False,False,True,False,False
S037,P02_0150,Spatial-DiT: Generalizable 3D Visuomotor Policy for Cross-Object Manipulation via Multi-Scale Spatial Fusion,2026,HIGH,TRUE,FALSE,,custom,custom,diffusion,unspecified,not_applicable,,0.95,,,,,,,,False,False,FALSE,clustering,3,1,True,False,False,True,False,False
S038,P02_0151,Leveraging Vision-Language Models for Improving Domain Generalization in Image Classification,2024,HIGH,TRUE,TRUE,1,PACS,custom,vit,medium,not_applicable,standard_Adam,,0.7548,,,,,,,False,False,FALSE,none,3,2,True,False,False,True,True,False
S039,P02_0154,"Roses are Red, Violets are Blue… But Should VQA expect Them To?",2021,HIGH,TRUE,FALSE,,custom,custom,transformer,unspecified,not_applicable,,0.546,0.48,,,0.066,0.2645644853770938,,0.07053254567928198,False,False,FALSE,none,2,1,True,False,False,True,False,False
S040,P02_0179,General Greedy De-Bias Learning,2023,HIGH,TRUE,TRUE,4,MNIST,custom,cnn_family,unspecified,not_applicable,other,,0.68,,,,,,,False,False,FALSE,other,3,1,True,False,False,True,True,True
S041,P02_0200,Handling Dual Skewness in Citywide Crime Prediction Using Personalized Graph Federated Learning,2025,HIGH,TRUE,FALSE,,custom,custom,gnn,unspecified,not_applicable,,0.706,0.3801,,,0.3259,1.3651592688672307,,0.0665723658885577,False,False,FALSE,none,2,2,True,False,False,True,False,False
S042,P02_0238,Three approaches to facilitate invariant neurons and generalization to out-of-distribution orientations and illuminations,2022,HIGH,TRUE,TRUE,,custom,custom,,unspecified,not_applicable,,,,,,,,,,False,False,TRUE,other,4,2,True,False,False,True,True,False
S043,P02_0280,SSGNN: Simple siamese graph neural networks for out-of-distribution generalization,2025,HIGH,TRUE,FALSE,10,custom,custom,gnn,unspecified,not_applicable,other,,0.9207,,,,,,,False,False,FALSE,none,4,1,True,False,False,True,False,True
S044,P02_0290,Boosting Rice Disease Diagnosis: A Systematic Benchmark of Five Deep Convolutional Neural Network Models in Precision Agriculture,2025,HIGH,TRUE,FALSE,,custom,custom,cnn_family,small,not_applicable,,,0.8508,,,,,,,False,False,FALSE,activation_max,2,1,True,False,False,True,False,False
S045,P02_0322,A two-stage co-adversarial perturbation to mitigate out-of-distribution generalization of large-scale graph,2024,HIGH,TRUE,FALSE,10,custom,custom,gnn,unspecified,not_applicable,,,0.7212,,0.0024,,,,,False,False,FALSE,other,3,1,True,False,False,True,False,True
S046,P02_0386,Rethinking Graph Generalization through the Lens of Sharpness-Aware Minimization,2026,HIGH,TRUE,TRUE,3,custom,custom,gnn,unspecified,other_sigma,standard_Adam,,,,,,,,,False,True,FALSE,none,4,2,True,False,False,True,True,True
S047,P02_0410,Invariant Graph Transformer for Out-of-Distribution Generalization,2026,HIGH,TRUE,TRUE,,custom,custom,transformer,unspecified,not_applicable,other,,,,,,,,,False,False,FALSE,other,4,1,True,False,False,True,True,False
S048,P02_0442,Producing plankton classifiers that are robust to dataset shift,2025,HIGH,TRUE,,,custom,custom,vit,unspecified,not_applicable,,,0.83,,,,,,,False,False,FALSE,other,4,1,True,False,False,True,False,False
S049,P02_0493,Coupled data-driven and experience-informed neural networks for prediction of pile base resistance with consideration of data limitation,2026,HIGH,TRUE,FALSE,,custom,custom,mlp,unspecified,not_applicable,,,,,,,,,,False,False,FALSE,none,2,1,True,False,False,True,False,False
S050,P02_0495,MiMu: mitigating multiple shortcut learning behavior of transformers,2025,HIGH,TRUE,TRUE,,MultiNLI,MultiNLI,transformer,medium,not_applicable,standard_Adam,0.832,0.707,,,0.125,0.719010404538444,,0.05890050933565856,False,False,FALSE,attention_patterns,2,1,True,False,False,True,True,False
