id,title,year,doi,arxiv_id,url,decision,status,attempts,pdf_path
P02_0622,Measuring Compositional Generalization: A Comprehensive Method on Realistic Data,2019,,1912.09713v2,http://arxiv.org/abs/1912.09713v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0622_Keysers_2019.pdf
P02_0623,Recursive Decoding: A Situated Cognition Approach to Compositional Generation in Grounded Language Understanding,2022,,2201.11766v2,http://arxiv.org/abs/2201.11766v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0623_Setzler_2022.pdf
P02_0624,Compositional Generalization without Trees using Multiset Tagging and Latent Permutations,2023,,2305.16954v1,http://arxiv.org/abs/2305.16954v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0624_Lindemann_2023.pdf
P02_0625,Compositional Generalization via Neural-Symbolic Stack Machines,2020,,2008.06662v2,http://arxiv.org/abs/2008.06662v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0625_Chen_2020.pdf
P02_0627,Uncontrolled Lexical Exposure Leads to Overestimation of Compositional Generalization in Pretrained Models,2022,,2212.10769v1,http://arxiv.org/abs/2212.10769v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0627_Kim_2022.pdf
P02_0628,A Neuroscience-Inspired Dual-Process Model of Compositional Generalization,2025,,2507.18868v3,http://arxiv.org/abs/2507.18868v3,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0628_Noviello_2025.pdf
P02_0629,Compositional generalization in a deep seq2seq model by separating syntax and semantics,2019,,1904.09708v3,http://arxiv.org/abs/1904.09708v3,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0629_Russin_2019.pdf
P02_0630,Compositional Generalization and Decomposition in Neural Program Synthesis,2022,,2204.03758v1,http://arxiv.org/abs/2204.03758v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0630_Shi_2022.pdf
P02_0632,Can Transformers Jump Around Right in Natural Language? Assessing Performance Transfer from SCAN,2021,,2107.01366v2,http://arxiv.org/abs/2107.01366v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0632_Chaabouni_2021.pdf
P02_0633,Learning to Generalize Compositionally by Transferring Across Semantic Parsing Tasks,2021,,2111.05013v1,http://arxiv.org/abs/2111.05013v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0633_Zhu_2021.pdf
P02_0634,Compositional generalization in semantic parsing with pretrained transformers,2021,,2109.15101v3,http://arxiv.org/abs/2109.15101v3,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0634_Orhan_2021.pdf
P02_0635,CNNs found to jump around more skillfully than RNNs: Compositional generalization in seq2seq convolutional networks,2019,,1905.08527v1,http://arxiv.org/abs/1905.08527v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0635_Dess_2019.pdf
P02_0640,ReaSCAN: Compositional Reasoning in Language Grounding,2021,,2109.08994v1,http://arxiv.org/abs/2109.08994v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0640_Wu_2021.pdf
P02_0642,Compositional Semantic Parsing with Large Language Models,2022,,2209.15003v2,http://arxiv.org/abs/2209.15003v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0642_Drozdov_2022.pdf
P02_0643,A Benchmark for Systematic Generalization in Grounded Language Understanding,2020,,2003.05161v2,http://arxiv.org/abs/2003.05161v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0643_Ruis_2020.pdf
P02_0648,Inducing Transformer's Compositional Generalization Ability via Auxiliary Sequence Prediction Tasks,2021,,2109.15256v1,http://arxiv.org/abs/2109.15256v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0648_Jiang_2021.pdf
P02_0651,Early-Warning Signals of Grokking via Loss-Landscape Geometry,2026,,2602.16967v3,http://arxiv.org/abs/2602.16967v3,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0651_Xu_2026.pdf
P02_0654,A Compositional Framework for Open-ended Intelligence,2026,,2606.15386v2,http://arxiv.org/abs/2606.15386v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0654_Momennejad_2026.pdf
P02_0657,Sequence-Level Mixed Sample Data Augmentation,2020,,2011.09039v1,http://arxiv.org/abs/2011.09039v1,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0657_Guo_2020.pdf
P02_0691,Invariant Graph Transformer for Out-of-Distribution Generalization,2025,,2508.00304v2,http://arxiv.org/abs/2508.00304v2,Include,retrieved-arxiv,arxiv:ok,/home/bigbasy/Documents/sigma-model/thesis/papers/02-systematic-review/research/full-text-pdfs/P02_0691_Liao_2025.pdf
