id,title,year,source,url,priority,doi,status
P02_0829,On Provable Length and Compositional Generalization,2024,arxiv,https://arxiv.org/pdf/2402.04875,1,,pending
P02_0831,DiNeR: a Large Realistic Dataset for Evaluating Compositional Generalization,2024,arxiv,https://arxiv.org/pdf/2406.04669,1,,pending
P02_0832,The Mystery of Compositional Generalization in Graph-based Generative Commonsense Reasoning,2024,arxiv,https://arxiv.org/pdf/2410.06272,1,,pending
P02_0836,"Compositional Generalization Requires Linear, Orthogonal Representations in Vision Embedding Models",2026,arxiv,https://arxiv.org/pdf/2602.24264,1,,pending
P02_0838,When does compositional structure yield compositional generalization? A kernel theory,2024,arxiv,https://arxiv.org/pdf/2405.16391,1,,pending
P02_0839,Syntax-Guided Transformers: Elevating Compositional Generalization and Grounding in Multimodal Environments,2023,arxiv,https://arxiv.org/pdf/2311.04364,1,,pending
P02_0843,Towards Compositional Generalization of LLMs via Skill Taxonomy Guided Data Synthesis,2026,arxiv,https://arxiv.org/pdf/2601.03676,1,,pending
P02_0845,Are Object-Centric Representations Better At Compositional Generalization?,2026,arxiv,https://arxiv.org/pdf/2602.16689,1,,pending
P02_0850,Layer-wise Representation Fusion for Compositional Generalization,2023,arxiv,https://arxiv.org/pdf/2307.10799,1,,pending
P02_0851,Block-Operations: Using Modular Routing to Improve Compositional Generalization,2024,arxiv,https://arxiv.org/pdf/2408.00508,1,,pending
P02_0854,The Role of Linguistic Priors in Measuring Compositional Generalization of Vision-Language Models,2023,arxiv,https://arxiv.org/pdf/2310.02777,1,,pending
P02_0855,Compositional Generalization and Natural Language Variation: Can a Semantic Parsing Approach Handle Both?,2020,arxiv,https://arxiv.org/pdf/2010.12725,1,,pending
P02_0856,Enhancing Compositional Generalization via Compositional Feature Alignment,2024,arxiv,https://arxiv.org/pdf/2402.02851,1,,pending
P02_0857,Evaluating Morphological Compositional Generalization in Large Language Models,2024,arxiv,https://arxiv.org/pdf/2410.12656,1,,pending
P02_0858,Evaluating the Impact of Model Scale for Compositional Generalization in Semantic Parsing,2022,arxiv,https://arxiv.org/pdf/2205.12253,1,,pending
P02_0859,Real-World Compositional Generalization with Disentangled Sequence-to-Sequence Learning,2022,arxiv,https://arxiv.org/pdf/2212.05982,1,,pending
P02_0861,Improving Compositional Generalization with Latent Structure and Data Augmentation,2021,arxiv,https://arxiv.org/pdf/2112.07610,1,,pending
P02_0863,Can LLM find the green circle? Investigation and Human-guided tool manipulation for compositional generalization,2023,arxiv,https://arxiv.org/pdf/2312.07763,1,,pending
P02_0864,Multi-Sourced Compositional Generalization in Visual Question Answering,2025,arxiv,https://arxiv.org/pdf/2505.23045,1,,pending
P02_0865,Analyzing the Inner Workings of Transformers in Compositional Generalization,2025,arxiv,https://arxiv.org/pdf/2502.15277,1,,pending
P02_0866,Improving Systematic Generalization Through Modularity and Augmentation,2022,arxiv,https://arxiv.org/pdf/2202.10745,1,,pending
P02_0867,NeSyCoCo: A Neuro-Symbolic Concept Composer for Compositional Generalization,2024,arxiv,https://arxiv.org/pdf/2412.15588,1,,pending
P02_0868,Compositional Generalization via Forced Rendering of Disentangled Latents,2025,arxiv,https://arxiv.org/pdf/2501.18797,1,,pending
