id,doi,arxiv_id,title,year,journal,url,reason,attempts
P02_0514,10.1145/3676558,,Towards Domain-Aware Stable Meta Learning for Out-of-Distribution Generalization,2024,ACM Transactions on Knowledge Discovery from Data,https://www.scopus.com/pages/publications/85202442187?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0517,10.1109/jstars.2026.3655786,,A Cascade Registration Method Based on Transformation Transfer for Multiscale Point Clouds,2026,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,https://www.scopus.com/pages/publications/105028274076?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0522,10.1109/twc.2025.3528568,,Avoiding Shortcuts: Enhancing Channel-Robust Specific Emitter Identification via Single-Source Domain Generalization,2025,IEEE Transactions on Wireless Communications,https://www.scopus.com/pages/publications/105002491437?origin=resultslist,paywalled,openalex:no-oa; unpaywall:no-oa
P02_0923,,2205.09607v2,LAGr: Label Aligned Graphs for Better Systematic Generalization in Semantic Parsing,2022,,http://arxiv.org/abs/2205.09607v2,download-failed,arxiv:fail
P02_1172,,,Learning to optimize: a primer and a benchmark,2022,,,no-identifier,
P02_1173,,,Proceedings of the 2025 International Conference on Multimedia Retrieval,2025,,,no-identifier,
P02_1175,,,Proceedings of the 2024 International Conference on Multimedia Retrieval,2024,,,no-identifier,
P02_1176,,,Proceedings of the 2026 ACM Workshop on Information Hiding and Multimedia Security,2026,,,no-identifier,
P02_1177,,,"Proceedings of the 2026 5th International Conference on Networks, Communications and Information Technology",2026,,,no-identifier,
P02_1178,,,"Proceedings of the 17th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics",2026,,,no-identifier,
P02_1179,,,"Proceedings of the 13th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",2026,,,no-identifier,
P02_1180,,,Proceedings of the 2024 2nd International Conference on Internet of Things and Cloud Computing Technology,2024,,,no-identifier,
P02_1181,,,"Proceedings of the 2026 5th International Conference on Big Data, Information and Computer Network",2026,,,no-identifier,
P02_1182,,,Proceedings of the 2025 6th International Conference on Computer Science and Management Technology,2025,,,no-identifier,
P02_1183,,,"Proceedings of the 2022 5th International Conference on Algorithms, Computing and Artificial Intelligence",2022,,,no-identifier,
P02_1184,,,"Proceedings of the 5th International Conference on Computer, Artificial Intelligence and Control Engineering",2026,,,no-identifier,
P02_1185,,,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,2025,,,no-identifier,
P02_1186,,,"Proceedings of the 2026 5th International Conference on Cryptography, Network Security and Communication Technology",2026,,,no-identifier,
P02_1187,,,Proceedings of the 7th ACM International Conference on Multimedia in Asia,2025,,,no-identifier,
P02_1188,,,Proceedings of the Third International Conference on AI-ML Systems,2023,,,no-identifier,
P02_1189,,,Proceedings of the 22nd ACM SIGGRAPH European Conference on Visual Media Production,2025,,,no-identifier,
P02_1190,,,Proceedings of the 12th International Symposium on Information and Communication Technology,2023,,,no-identifier,
P02_1191,,,Proceedings of the 2025 11th International Conference on Communication and Information Processing,2025,,,no-identifier,
P02_1192,,,Proceedings of the 32nd ACM International Conference on Multimedia,2024,,,no-identifier,
